Brand,Series,Screen Size,Color,Hard Disk Size,CPU Model,Ram Memory Installed Size,Operating System,Card Description,Graphics Coprocessor,Special Feature,CPU Speed,Hard Disk Description,Resolution,RAM Memory Maximum Size,Model Name,Item Weight,Price
HP,HP Pavilion Gaming Laptop 15-dk0020nr,15.6 Inches,Shadow Black/Acid Green,256 GB,Core i5 Family,8 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$804.88
GIGABYTE,G5 GD-51US123SO,15.6 Inches,Black,512 GB,Intel Mobile CPU,16 GB,Windows 11 Home,Dedicated,,,4.5 GHz,,,,,,$829.00
HP,HP Pavilion,15.6 Inches,Shadow Black,256 GB,AMD R Series,8 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$749.00
Acer,AN515-45-R92M,15.6 Inches,Black,512 GB,AMD Ryzen 7,16 GB,Windows 10 Home,Dedicated,,,4.4 GHz,,,,,,"$1,074.00"
GIGABYTE,A7 K1-BUS1150SB,17.3,Black,1 TB,AMD Ryzen 7 5800H,16 GB,Windows 11 Home,Dedicated,,,3.2 GHz,,,,,,"$1,299.00"
Acer,PH315-52-710B,15.6 Inches,Black,512 GB,Intel Core i7,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1650 Ti,,,,,,,,"$1,289.99"
Lenovo,Lenovo Ideapad,15.6 Inches,,1 TB,Ryzen 5,16 GB,Windows 11,Dedicated,NVIDIA GeForce RTX 3050 Ti,,4.2 GHz,,,,,,$969.99
ASUS,ASUS Rog Zephyrus,14 Inches,Moonlight White,1 TB,AMD R Series,16 GB,Windows 10,Dedicated,NVIDIA GeForce RTX 2060,,,,,,,,"$1,418.99"
MSI,GF63 THIN 9SC-068,15.6 Inches,Black,256 GB,Core i5,8 GB,Windows,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$680.00
Acer,PT515-52-73L3,15.6 Inches,Black,512 GB,Corei7-10750H,16 GB,Windows 10 Home,RTX 2070 Super,NVIDIA GeForce RTX 2070,,,,,,,,"$1,451.00"
MSI,GF63 THIN 10SC-035,15.6 Inches,Black,1 TB,Corei5-10300H,8 GB,Windows 10 Home,Dedicated,RTX 3050,,,,,,,,$670.29
Acer,Acer Nitro,15.6 Inches,,1 TB,Core i5,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 3050,,4.5 GHz,,,,,,$999.99
Acer,PH315-53-72XD,15.6 Inches,Abyss Black,512 GB,Corei7-10750H,16 GB,Windows 10 Home,RTX 2060,,Multi-touch Gesture,,,,,,,"$1,326.00"
ASUS,ASUS Rog Strix,15.6 Inches,Black,512 GB,Ryzen 9,16 GB,Windows 10 Home,GeForce RTX 3060,NVIDIA GeForce RTX 3060,,,,,,,,
Lenovo,Legion 5 17ITH6H,17.3 Inches,"Phantom Blue, Shadow Black",512 GB,Core i7 Family,16 GB,Windows 11 Home,Geforce RTX 3060,NVIDIA GeForce RTX 3060,,,,,,,,"$1,189.99"
MSI,GF65 Thin 10UE-047,15.6 Inches,Core Black,512 GB,Corei7-10750H,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 3060,,,,,,,,"$1,209.00"
Acer,Acer Nitro,15.6 Inches,Black,1 TB,Core i5,16 GB,Windows 11,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$904.99
Acer,SFX14-41G-R1S6,14 Inches,Gold,512 GB,AMD Ryzen 7,16 GB,Windows 10 Home,Dedicated,,Multi-touch Gesture,,,,,,,"$1,054.02"
ASUS,TUF,15.6 Inches,Eclipse Grey Color,1 TB,Core i7,4 GB,Windows 10,,NVIDIA GeForce RTX 3050 Ti,,4.8 GHz,,,,,,"$1,299.00"
MSI,GF65,15.6 Inches,,512 GB,Xeon Platinum 8160M,8 GB,Windows 10,Dedicated,NVIDIA GeForce RTX 3060,,2.5 GHz,,,,,,
HP,15T,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 10 Home,Dedicated,RTX 3060,,,,,,,,"$1,449.99"
ASUS,ASUS ROG,14 Inches,RTX 2060 Max-Q-16GB RAM/1TB SSD,1 TB,Ryzen 9,16 GB,Windows 10,Dedicated,NVIDIA GeForce RTX 2060 Max-Q,,,,,,,,"$1,399.00"
ASUS,ASUS ROG Strix G17,17.3 Inches,Eclipse Gray,512 GB,AMD Ryzen 7,16 GB,Windows 10 Home,GeForce RTX 3050 Ti,NVIDIA GeForce RTX 3050 Ti,,,,,,,,"$1,279.00"
ASUS,TUF Gaming F17 FX706,17.3 Inches,Bonfire Black,512 GB,Intel Core i5,8 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1650 Ti,,,,,,,,$889.90
HP,Pavilion,15.6 Inches,Black,1 TB,Corei5-10300H,4 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$799.00
Acer,Acer Nitro,15.6 Inches,Black,1 TB,Intel Core i5,16 GB,"Windows 10 Home, Windows 10",Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,
HP,HP Omen,17.3 Inches,Shadow Black,1 TB,Core i7,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 3060,,,,,,,,"$1,499.99"
Acer,Acer Aspire,15.6 Inches,Silver,128 GB,AMD R Series,20 GB,Windows 11,,Amd,,2.1 GHz,,,,,,$579.99
HP,HP Laptop 14-fq1025nr,14 Inches,Natural Silver,256 GB,AMD Ryzen 5 5500U,8 GB,Windows 11 Home,Integrated,,"HP Fast Charge: Go from 0 to 50% charge in approximately 45 minutes., HP is committed to global citizenship and environmental responsibility. Do the environment—and your wallet—a favor when you use the HP Laptop that meets strict energy-efficiency and helps reduce your carbon footprint., Sleek design: Easily take this thin and light PC from room to room or on the road., Uned stereo speakers: HP custom tunes the dual speaker setup in every notebook for exceptional stereo quality., AMD Radeon™ graphics: Whether it’s games or movies, experience high performance for all your entertainment.  See more",,,,,,,$483.99
MSI,Pulse GL76 12UEK-052,17.3 Inches,Black,512 GB,Core i7,16 GB,Win11 Home,Dedicated,,,1.7 GHz,,,,,,"$1,479.99"
Lenovo,Lenovo Ideapad,15.6 Inches,Black,512 GB,Intel Core i5,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$828.00
ASUS,Modern,17.3 Inches,Black,1 TB,Intel Core i5,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 3050 Ti,,,,,,,,"$1,107.79"
Lenovo,L340 Gaming,15.6 Inches,Black,512 GB,Core i5,8 GB,Windows 10,Dedicated,NVIDIA GeForce,,,,,,,,
Dell,Dell G15 5511,15.6 Inches,Black,512 GB,Core i5 Family,8 GB,Windows 10 Home,RTX 3050,,Dell Gaming,,,,,,,$920.00
ASUS,ASUS ROG Strix G17,17.3,Exlipse Gray,512 GB,Ryzen 7,16 GB,Windows 11,GeForce RTX 3050 Ti,,,4.4 GHz,,,,,,"$1,199.00"
Acer,Acer Nitro,15.6 Inches,,1 TB,Core i5,16 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650,Gaming,,,,,,,$969.99
Alienware,Alienware m15 R4,15.6 Inches,White,512 GB,Core i7,16 GB,Windows 10 Home,NVIDIA RTX3060,NVIDIA GeForce RTX 3060,,,,,,,,"$1,869.55"
MSI,GS76 Stealth 11UE-221,17.3 Inches,Core Black,512 GB,Core i7 Family,16 GB,Windows 10 Pro,Dedicated,,,2.4 GHz,,,,,,"$1,490.00"
Acer,AN515-54-728C,15.6 Inches,,256 GB,Core i7,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 2060,,4.5 GHz,,,,,,"$1,199.99"
CHUWI,CHUWI CoreBook Xpro,15.6 Inches,Gray,512 GB,Core i5 8250U,8 GB,Windows 10 Home,Dedicated,,Office，student,,,,,,,$599.99
Lenovo,Thinkpad T420,14 Inches,Black,512 GB,Core i5-2410M,8 GB,Windows 10 Pro,Integrated,Intel HD Graphics 4000,,,,,,,,$199.99
HP,HP Omen,16.1 Inches,Mica Silver,1 TB,Ryzen 7,16 GB,Windows 11 Home,,AMD Radeon RX 6600M,,4.4 GHz,,,,,,"$1,339.99"
Lenovo,Lenovo Legion,17.3 Inches,Black,1 TB,Ryzen 5,16 GB,Windows 11,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$949.99
Lenovo,Legion 5,17.3 Inches,Blue,2 TB,Ryzen 5,32 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3060,,,,,,,,"$1,419.90"
Dell,G15,15.6 Inches,Phantom Grey,1 TB,AMD R Series,32 GB,Windows 10,Dedicated,NVIDIA GeForce RTX 3050 Ti,,,,,,,,"$1,279.00"
Acer,AN515-55-59KS,15.6 Inches,Black,256 GB,Core i5,8 GB,Windows 10 Home,Integrated,NVIDIA GeForce GTX 1650 Ti,,,,,,,,
HP,,17.3 Inches,Silver,1 TB,Core i5,16 GB,Windows 11 Home,,Intel Iris Xe Graphics,,2.4 GHz,SSD,,,,,$759.99
Lenovo,IdeaPad Gaming,15.6 Inches,,256 GB,Core i5,16 GB,Windows 11,Integrated,NVIDIA GeForce RTX 3050,,3.1 GHz,,,,,,$899.99
ASUS,,15.6 Inches,,512 GB,Ryzen 5 3550H,16 GB,Windows 10 Home,,AMD Radeon RX 560,,2.1 GHz,SSD,1080p,,,,$749.99
Lenovo,Legion Slim 7,15.6 Inches,Shadow Black,512 GB,AMD Ryzen 7,16 GB,Windows 11,Dedicated,NVIDIA GeForce RTX 3060,,,,,,,,"$1,325.90"
MSI,Katana GF76 12UE-026,17.3 Inches,Black,512 GB,Core i7,16 GB,Win11 Home,Dedicated,,,1.7 GHz,,,,,,"$1,409.00"
Lenovo,Ideapad 3 15 Laptop,15.6 Inches,Abyss Blue,512 GB,AMD Ryzen 5 5500U,8 GB,Windows 11,Integrated,,,,SSD,,,,,$529.99
MSI,GS66 Stealth 10SE-684,15.6 Inches,Core Black,512 GB,Core i7 Family,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 2060,,,,,,,,"$1,319.97"
MSI,GE75 Raider 10SF-286,17.3 Inches,,512 GB,Core i7,64 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 2070,,2.3 GHz,,,,,,"$1,449.99"
MSI,MSI Sword,15.6 Inches,White,512 GB,Intel Core i7,8 GB,Windows 10,Dedicated,NVIDIA GeForce RTX 3050ti graphics,,,,,,,,$939.99
GIGABYTE,AORUS 15P XD-73US224SH,15.6 Inches,Black,1 TB,Intel Mobile CPU,16 GB,Windows 10 Home,Dedicated,,,4.6 GHz,,,,,,"$1,548.99"
GIGABYTE,AORUS 15P KD-72US223SO,15.6,Black,512 GB,Intel Mobile CPU,16 GB,Windows 11 Home,Dedicated,,,4.6 GHz,,,,,,"$1,199.99"
Dell,G15,15.6 Inches,Black,1 TB,Core i7 Family,32 GB,Windows 11 Pro,Dedicated,NVIDIA GeForce RTX 3050,,,,,,,,
Tulasi,,14.1 Inches,,128 GB,Celeron,8 GB,Windows 11,,Intel UHD 600,,2.7 GHz,SSD,1080p,,,,$298.00
MSI,GF75 Thin i5 Laptop,17.3 Inches,Black,512 GB,Core i5,16 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650 Ti,,,,,,,,$859.99
Lenovo,Legion 5,17.3 Inches,Blue,1 TB,Ryzen 5,16 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3060,,,,,,,,"$1,209.90"
ALLDOCUBE,GT Book,14 Inches,Gray,256 GB,Celeron N,12 GB,Windows 11 Home,,Intel UHD Graphics,,2.8 Hz,,,,,,$322.99
MSI,,,,,Core i5,6 GB,Windows 10,,,,,SSD,,32 GB,,,"$1,199.99"
MSI,GV15 Thin 11SC-633,15.6 Inches,Black,,Core i5,8 GB,Win 11,Dedicated,NVIDIA GeForce GTX 1650,,4.5 GHz,,,,,,$749.99
Dell,G3579-5941BLK-PUS,15.6 Inches,Black,128 GB,Core i5,8 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1050,,,,,,,,$749.00
HP,HP Pavilion,15.6 Inches,Horizon Blue,512 GB,AMD Ryzen 7,16 GB,Windows 11,AMD Radeon Graphics,AMD Radeon Graphics,,,,,,,,$779.00
Evoo,EVOO Gaming Laptop,15.6 Inches,Black,512 GB,Ryzen 7 4800H,16 GB,Windows 10 Home,Integrated,NVIDIA GeForce RTX 2060,,,,,,,,$949.99
,,,,,,,,,,,,,,,,,"$1,548.00"
MSI,GF63 THIN 9SC-614,15.6 Inches,Black,512 GB,Core i5,8 GB,Windows 10,Dedicated,GTX 1650 MaxQ,,,,,,,,$749.99
Lenovo,Legion Y540,15.6 Inches,Black,256 GB,Core i7,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1660Ti,,,,,,,,$986.99
Lenovo,Lenovo Legion,15.6 Inches,Phantom Blue,1 TB,Ryzen 7,32 GB,Windows 10,Dedicated,NVIDIA GeForce RTX 3050 Ti,,,,,,,,"$1,399.90"
ASUS,ASUS ROG Zephyrus G14,14 Inches,16GB RAM|1TB PCIe SSD,1 TB,Ryzen 7,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 2060 Max-Q,,,,,,,,"$1,175.00"
MSI,,15.6 Inches,,512 GB,Intel Core i7,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 3060,,2.3 GHz,SSD,,,,,"$1,249.00"
Acer,,15.6 Inches,Abyss Black,,Core i7,16 GB,Windows 10 Home,Dedicated,,Multi-touch Gesture,"4.6, 2.3 GHz",,,,PT315-53-79FG,,
Lenovo,Flex 5,14 Inches,Graphite Grey,512 GB,Ryzen 7 Pro 1700X,16 GB,Windows 10,,Integrated AMD Radeon Graphics,,2 GHz,,,,,,$764.00
Lenovo,Lenovo Ideapad,15.6 Inches,Blue,512 GB,AMD R Series,12 GB,Windows,,Integrated AMD Radeon™ 7 Graphics,,4 GHz,,,,,,$609.00
ASUS,ROG Strix G17,17.3 Inches,Gray,1 TB,Ryzen 7 4800H,16 GB,Windows 10,Dedicated,NVIDIA GeForce RTX 3060,,,,,,,,"$1,424.99"
