Brand,Series,Screen Size,Color,Hard Disk Size,CPU Model,Ram Memory Installed Size,Operating System,Card Description,Graphics Coprocessor,Special Feature,CPU Speed,Hard Disk Description,Resolution,RAM Memory Maximum Size,Model Name,Item Weight,Price
Lenovo,Lenovo Legion,15.6 Inches,Black,512 MB,,8 GB,Windows,Dedicated,,,2.6 GHz,,1080p,,,,$920.00
MSI,10SCXR,17.3 Inches,Black,512 GB,Core i5,8 GB,Windows 10,,"GeForce GTX 1650, 4GB GDDR6",,2.5 GHz,,,,,,$999.99
ASUS,TUF Gaming A15,15.6 Inches,Fortress Gray,512 GB,Ryzen 7 4800H,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1660Ti,,,,,,,,"$1,339.99"
SAMSUNG,Galaxy Book Pro,15.6 Inches,Silver,512 GB,Intel Core i5,8 GB,Windows 11 Home,Integrated,,,2.4 GHz,,,,,,$785.00
MSI,GF65 Thin 10SDR-1273,15.6 Inches,Aluminum Black,512 GB,Core i7 Family,8 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1660Ti,,,,,,,,$849.00
HP,HP Laptop 17-by4025nr,17.3 Inches,Natural Silver,256 GB,Intel Core i3,4 GB,Windows 11 Home,Integrated,,"Processor: 11th Generation Intel Core i3-1115G4, Operating system: Windows 11 Home, Internal storage: 256 GB PCIe NVMe M.2 SSD, Display: 17.3-inch diagonal, HD+ (1600 x 900), BrightView, Memory: 4 GB DDR4-2666 MHz RAM (1 x 4 GB)  See more",,,,,,,$429.00
Acer,,15.6 Inches,Black,,,8 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650,,2.4 GHz,,"1080p, 720p",,,2.2 Kilograms,$819.00
HP,,15.6 Inches,Blue,1 TB,AMD R Series,16 GB,Windows 11,,AMD Radeon Graphics,,4 GHz,SSD,,,,,$699.99
CHUWI,HeroBook Pro,14,Gray,256 GB,Celeron N4020,8 GB,Windows 10,Integrated,,"Chuwi herobook pro laptops tradicionales be used gaming laptop, Chuwi herobook pro laptop computer for study, Chuwi herobook pro editing laptop for edite, Chuwi herobook pro windows laptop for work, Chuwi herobook pro computer laptop for gaming  See more",,,,,,,$254.99
Acer,Acer Nitro,15.6 Inches,Black,2 TB,Core i5,32 GB,Windows 10,Dedicated,NVIDIA GeForce RTX 3050,,,,,,,,"$1,219.00"
Dell,Optiplex,,,,Core 2 Duo E7500,4 GB,,,Intel GMA 4500,,3 GHz,,,4 GB,,,$109.99
ASUS,‎ROG Strix G17,15.6 Inches,Gray | Ryzen 7 4800H | 16GB + 512GB SSD,512 GB,Ryzen 7,16 GB,Windows 10,Dedicated,,,3 GHz,,,,,,"$1,299.00"
ASUS,X512DA-BTS2020RL,15.6 Inches,Silver,512 GB,Ryzen 5 1400,8 GB,Windows 10,Dedicated,AMD Radeon Vega 8,,,,,,,,$564.81
HP,HP Pavilion,17.3 Inches,‎Natural Silver,1 TB,Intel Core i5,16 GB,‎Windows 11,Integrated,Intel Iris Xe Graphics,,,,,,,,$749.99
MSI,,15.6 Inches,,256 GB,Corei5-10300H,8 GB,Windows 10 Home,Integrated,NVIDIA GeForce GTX 1650,,2.5 GHz,SSD,,,,,
HP,Pavilion,15.6 Inches,Spruce Blue,512 GB,AMD R Series,16 GB,Windows 11,,AMD Radeon Graphics,,4 GHz,,,,,,$679.00
DERE,,14.1 Inches,Pink,256 GB,Celeron N,12 GB,Windows 10,Integrated,Intel Celeron N5095,,2,,,,,,$429.99
CHUWI,GemiBook,13 Inches,GemiBook(2021),256 GB,Celeron,8 GB,Windows 10,,Intel UHD Graphics 600,,2 GHz,,,,,,$299.00
TECLAST,TBolt 20 Pro,15.6 Inches,Dark Grey,256 GB,Core i5,8 GB,Windows 10,Dedicated,Iris Plus 655,,,,,,,,$549.99
Lenovo,Lenovo Ideapad,15.6 Inches,Black,512 GB,,8 GB,Windows 10 Home,,,,3.3 GHz,Flash_memory_solid_state,"1080p, 720p",,,,$779.00
Lenovo,Ideapad 3 14 Laptop,14,Abyss Blue,,Ryzen 5,256 GB,Windows 10 Home,Integrated,,,2.1,SSD,,,,,$548.00
Lenovo,‎IdeaPad Flex 5,14 Inches,Graphite Grey,512 GB,Ryzen 7 4700U,16 GB,Windows 10 Home,Integrated,Integrated AMD Radeon Graphics,,,,,,,,$738.99
ASUS,TUF F15,15.6 Inches,,1 TB,Corei5-10300H,16 GB,Windows 10,NVIDIA GeForce GTX 1650,NVIDIA GeForce GTX 1650,,2.5 GHz,,,,,,"$1,079.00"
XPG,XENIA15I7G9H1660TLX-GLCUS,15.6 Inches,GTX 1660 Ti,512 GB,Intel Core i7,16 GB,Windows 10,GeForce GTX 1660Ti,NVIDIA,,,,,,,,$799.00
ASUS,FX505DT-WB72,15.6 Inches,Black,256 GB,AMD Ryzen 7,8 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$825.00
ASUS,,15.6 Inches,Blue,512 GB,Celeron N,4 GB,Windows 10,,Intel UHD Graphics 600,,1.1 GHz,,,,L510,,$379.99
Dell,Inspiron,15.6 Inches,Black,1 TB,Core i5,16 GB,Windows 10,,Intel UHD Graphics,,1 GHz,,,,,,$672.00
HP,17-CN0065CL,17.3 Inches,Silver,1 TB,Core i7 Family,32 GB,Windows 11 Pro,Integrated,Intel Iris Xe Graphics,,,,,,,,
Bmax,X15,15.6 Inches,Gray,256 GB,Celeron N,8 GB,Windows 10,Integrated,Intel UHD Graphics 600,,,,,,,,$299.99
HP,Pavilion,17.3 Inches,Natural Silver,1 TB,Core i5,64 GB,Windows 1,,Intel Iris Xe Graphics,,4.2 GHz,,,,,,$999.00
HP,"HP Flagship 17.3"" Laptop",17.3 Inches,Silver,512 GB,Core i5 Family,16 GB,Windows 11,Integrated,Intel Iris Xe Graphics,,,,,,,,$689.00
Dell,Dell G15 Ryzen Edition Gaming Laptop 5600H,15.6 Inches,Silver,256 GB,AMD R Series,8 GB,Windows 10,Dedicated,Dedicated NVIDIA GeForce RTX 3050 4GB,,,,,,,,$920.98
MSI,Crosshair 17,17.3 Inches,Titanium Gray,512 GB,Core i7 Family,16 GB,Windows 11 Home,GeForce RTX 3050 Ti,NVIDIA GeForce RTX 3050 Ti,,,,,,,,"$1,199.00"
Lenovo,Legion,15.6 Inches,Raven Black,512 GB,Core i7 Family,4 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,"$1,169.99"
Lenovo,Legion 5,17.3 Inches,Blue,1 TB,Ryzen 5,32 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3060,,,,,,,,"$1,309.90"
ASUS,ROG Strix G15,15.6 Inches,Black,512 GB,Corei7-10750H,16 GB,Windows 10 Home,Dedicated,NVIDIA® GeForce RTX™ 2060,,,,,,,,"$1,299.99"
AWOW,,14 Inches,Black,256 GB,Core i5,8 GB,Windows 10 Home,Integrated,Intel® Coffee Lake-U I5-8279U,Waterproof(IPX5),,,,,,,$499.99
HP,,17.3 Inches,Silver,1 TB,Intel Core i3,16 GB,Windows 11 Home,,Intel UHD Graphics,,3 GHz,SSD,,,,,$629.00
MSI,GF63 Thin 8SC-030,15.6 Inches,Black,,Core i5,8 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650,,2.3,,,,,,$699.90
BiTECOOL,,15.6 Inches,Silver,120 GB,Celeron,6 GB,Linux,,Intel UHD Graphics 600,,2 GHz,SSD,,,,,$279.00
HP,HP Notebook,17.3 Inches,Silver,512 GB,Intel Core i5,16 GB,Windows 11 Home,,Intel Iris Xe Graphics,,2.5 GHz,,,,,,$719.00
HP,,14 Inches,Gold,64 GB,Celeron,8 GB,"Windows, Windows 11",Integrated,Intel HD Graphics,,1.1 GHz,,,,,,$369.99
MSI,GF75 Thin,17.3 Inches,Aluminum Black,1 TB,Core i5,32 GB,Windows 10,Dedicated,Nvidia GTX 1650 Ti 4GB,,,,,,,,
Acer,Acer Nitro,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 3050,,,,,,,,$896.00
ASUS,ASUS ZenBook Pro 15,15.6 Inches,Pine Grey,1 TB,Ryzen 9 5900X,16 GB,Windows 11 Pro,RTX 3050 Ti,NVIDIA GeForce RTX 3050 Ti,,,,,,,,"$1,454.99"
Dell,Inspiron 15 5510,15.6 Inches,Silver,512 GB,Core i5 Family,8 GB,Iris Xe,Intel Iris Xe Graphics,Intel Iris Xe Graphics,,,,,,,,
Lenovo,"Lenovo Ideapad Gaming 3i 15""",15.6,Gray,,Core i5,8 GB,Windows 11 Home,Dedicated,,,2.5 GHz,SSD,,,,,$949.99
HP,HP Pavilion,17.3 Inches,,512 GB,Intel Core i5,16 GB,Windows 11,,Intel Iris Xe Graphics,,2.4 GHz,SSD,,,,,$729.99
MSI,Modern 15 A11MU-681,15.6 Inches,Carbon Gray,512 GB,Core i7 Family,16 GB,Win 10 Multi-language /Free upgrade to Win 11,Integrated,,,2.9 GHz,,,,,,$834.66
Lenovo,Ideapad S330,14 Inches,Business Black,64 GB,MTK 8121,4 GB,Chrome OS,Integrated,,"Fast, simple, and secure Chromebook",,,,,,,$199.28
Acer,AV15-51-75QQ,15.6 Inches,Gray,512 GB,Core i7,16 GB,Windows,Integrated,,Post-Consumer Recycled Materials,,,,,,,$893.13
Acer,Acer Aspire,15.6 Inches,Silver,256 GB,Core i3 Family,8 GB,Windows 11 S,Integrated,Intel UHD Graphics,,,,,,,,$429.79
ASUS,ASUS VivoBook Pro 14,14 Inches,Quiet Blue,1 TB,AMD Ryzen 7 5800H,16 GB,Windows 11 Pro,GeForce RTX 3050,NVIDIA GeForce RTX 3050,,,,,,,,"$1,199.99"
Acer,EN314-51W-53RR,14 Inches,Black,,Intel Core i5,8 GB,Windows 10 Pro,Integrated,Intel UHD Graphics,Multi-touch Gesture,,,,,,,"$1,029.16"
MSI,GF75,17.3 Inches,,512 GB,Core i7,16 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1660Ti,,2.6 GHz,,,,,,"$1,249.99"
Acer,Acer Aspire,15.6 Inches,Silver/black,512 GB,Core i3,8 GB,Windows 10 S,Integrated,Integrated,,,,,,,,$479.99
HP,HP,15.6 Inches,Blue,512 GB,Ryzen 5,16 GB,Windows 11 Home,Integrated AMD Radeon Graphics,AMD Radeon Graphics,,,,,,,,$629.99
Apple,IPad Air 2,9.7 Inches,,,,,IOS 8,,,,,,,,,,$209.00
ASUS,ASUS VivoBook Pro 14,14 Inches,Quiet Blue,1 TB,AMD Ryzen 7 5800H,16 GB,Windows 11 Pro,GeForce RTX 3050,NVIDIA GeForce RTX 3050,,,,,,,,"$1,199.99"
Acer,EN314-51W-53RR,14 Inches,Black,,Intel Core i5,8 GB,Windows 10 Pro,Integrated,Intel UHD Graphics,Multi-touch Gesture,,,,,,,"$1,029.16"
Lenovo,IdeaPad Gaming 3-15IMH05,15.6 Inches,Onyx Black,256 GB,Core i5 Family,8 GB,Windows 10 Home,GeForce GTX 1650,NVIDIA GeForce GTX 1650,,,,,,,,$696.00
,,,,,,,,,,,,,,,,,"$1,249.99"
Acer,Acer Aspire,15.6 Inches,Silver/black,512 GB,Core i3,8 GB,Windows 10 S,Integrated,Integrated,,,,,,,,$479.99
HP,HP,16.1 Inches,Blue,1000 GB,Core i5,32 GB,Windows 11,Dedicated,NVIDIA GeForce RTX 3050,,,,,,,,"$1,094.32"
,,,,,,,,,,,,,,,,,$629.99
,,,,,,,,,,,,,,,,,"$1,347.99"
HP,,17.3 Inches,,1 TB,Intel Core i5,64 GB,Windows 11,Integrated,Intel Iris Xe Graphics,,2.4 GHz,SSD,,,,,$758.99
Acer,AN517-54-79L1,17.3 Inches,Shale Black,,,16 GB,Windows 11 Home,,,,2.4 GHz,,1920 x 1080,,,5.95 Pounds,"$1,195.98"
HP,14a-na0021nr,14 Inches,Ceramic White,0.01 MB,Celeron N4000,4 GB,Chrome OS,Integrated,Intel UHD Graphics 600,,,,,,,,$241.99
,,,,,,,,,,,,,,,,,$672.00
,,,,,,,,,,,,,,,,,$629.00
ASUS,ASUS,15.6 Inches,Black,256 GB,Ryzen 3 3200U,16 GB,Windows 10 Home,Integrated,AMD Radeon Vega 3,,,,,,,,$501.00
,,,,,,,,,,,,,,,,,$899.91
,,,,,,,,,,,,,,,,,$279.00
,,,,,,,,,,,,,,,,,$220.00
,,,,,,,,,,,,,,,,,"$1,179.98"
,,,,,,,,,,,,,,,,,$899.99
,,,,,,,,,,,,,,,,,$749.99
,,,,,,,,,,,,,,,,,$999.99
MSI,,14 Inches,,,Core i5,16 GB,Windows 10 Home,,,,"2.5, 4.5 GHz",Flash_memory_solid_state,1080p,,,4.65 Pounds,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,$557.00
Lenovo,Legion,15.6 Inches,Phantom Black,256 GB,AMD R Series,8 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1650 Ti,,,,,,,,$795.00
,,,,,,,,,,,,,,,,,"$1,169.00"
,,,,,,,,,,,,,,,,,"$1,159.79"
,,,,,,,,,,,,,,,,,$400.16
,,,,,,,,,,,,,,,,,$267.00
,,,,,,,,,,,,,,,,,$249.00
,,,,,,,,,,,,,,,,,"$1,199.00"
,,,,,,,,,,,,,,,,,"$1,099.99"
,,,,,,,,,,,,,,,,,$309.00
,,,,,,,,,,,,,,,,,$815.00
,,,,,,,,,,,,,,,,,$695.99
,,,,,,,,,,,,,,,,,"$1,049.00"
,,,,,,,,,,,,,,,,,$200.00
,,,,,,,,,,,,,,,,,$669.99
,,,,,,,,,,,,,,,,,"$1,089.90"
,,,,,,,,,,,,,,,,,$949.99
HP,,,,,Intel Core 2 Duo,4 GB,,,Intel Integrated Graphics,,3.2 GHz,,,16 GB,,,$145.99
,,,,,,,,,,,,,,,,,"$1,439.99"
,,,,,,,,,,,,,,,,,$239.99
,,,,,,,,,,,,,,,,,$619.99
,,,,,,,,,,,,,,,,,$549.99
Acer,AN515-44-R99Q,15.6 Inches,Obsidian Black,256 GB,AMD R Series,8 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$729.00
,,,,,,,,,,,,,,,,,$249.00
HP,17z,17.3 Inches,Jet black,256 GB,AMD A Series,16 GB,Windows 10,,AMD Radeon Graphics,,2.4 GHz,,,,,,$609.00
,,,,,,,,,,,,,,,,,$369.00
,,,,,,,,,,,,,,,,,$429.00
,,,,,,,,,,,,,,,,,$703.00
,,,,,,,,,,,,,,,,,$649.00
,,,,,,,,,,,,,,,,,"$1,299.99"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,$819.99
,,,,,,,,,,,,,,,,,$319.00
,,,,,,,,,,,,,,,,,$969.99
,,,,,,,,,,,,,,,,,"$1,299.99"
,,,,,,,,,,,,,,,,,"$1,429.90"
,,,,,,,,,,,,,,,,,$249.00
,,,,,,,,,,,,,,,,,"$1,271.98"
,,,,,,,,,,,,,,,,,$769.00
,,,,,,,,,,,,,,,,,"$1,295.98"
,,,,,,,,,,,,,,,,,"$1,030.98"
Acer,TMP414-51-506U,14 Inches,Black,512 GB,Intel Core i5,8 GB,Windows 10 Pro,Integrated,,,4.2 GHz,,,,,,$849.99
Acer,C27-1655-UA93,,,,,16 GB,Windows 10 Pro,,,,,HDD,,16 GB,,,"$1,323.04"
,,,,,,,,,,,,,,,,,$742.64
,,,,,,,,,,,,,,,,,$329.00
,,,,,,,,,,,,,,,,,$499.99
Lenovo,Lenovo Legion,17.3 Inches,Black,1 TB,Ryzen 5,16 GB,Windows 11 Home,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$989.00
HP,,17.3 Inches,Silver,512 GB,Intel Core i3,16 GB,Windows 11,Integrated,Intel Graphics,,3 GHz,,,,,,$649.99
,,,,,,,,,,,,,,,,,$878.78
,,,,,,,,,,,,,,,,,$612.00
MSI,GF63 THIN 9RCX-615,15.6 Inches,,512 GB,Intel Core i7,8 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1050 Ti,,2.4 GHz,,,,,,
,,,,,,,,,,,,,,,,,
Acer,2022 Newest Acer Aspire 5,15.6 Inches,Silver,128 GB,Ryzen 3,8 GB,Windows 11 Home in S Mode,Integrated,AMD Radeon Graphics,,,,,,,,$489.00
,,,,,,,,,,,,,,,,,"$1,049.00"
,,,,,,,,,,,,,,,,,"$1,350.48"
,,,,,,,,,,,,,,,,,$819.00
,,,,,,,,,,,,,,,,,$964.89
,,,,,,,,,,,,,,,,,"$1,049.00"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,$792.00
,,,,,,,,,,,,,,,,,$849.98
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,$399.99
,,,,,,,,,,,,,,,,,"$1,449.99"
,,,,,,,,,,,,,,,,,$899.00
,,,,,,,,,,,,,,,,,"$1,119.00"
,,,,,,,,,,,,,,,,,$679.00
,,,,,,,,,,,,,,,,,$629.99
,,,,,,,,,,,,,,,,,$109.00
,,,,,,,,,,,,,,,,,$769.00
,,,,,,,,,,,,,,,,,$927.99
,,,,,,,,,,,,,,,,,$579.00
,,,,,,,,,,,,,,,,,$999.99
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
